#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
6000,24.000000000001354,-224913.63176043762,40567.57214112696,299.1879715341565,158.4944578136024,1.031430516557027
6100,24.400000000001487,-225340.81926043762,41225.98829209246,304.04382516886255,158.5170766459506,1.0312833415369822
6200,24.80000000000162,-225242.88176043762,41144.296320155496,303.4413425926458,158.17192525867128,1.0335337337948205
6300,25.200000000001754,-224533.81926043762,41128.227622407896,303.3228351042614,158.39354942855414,1.0320876139457196
6400,25.600000000001888,-224852.38176043762,41548.12549610133,306.4196039383639,158.4113026906255,1.031971947187226
6500,26.00000000000202,-224933.75676043762,41638.22584259673,307.08409871780754,158.89289304433188,1.0288441311752015
6600,26.400000000002155,-225090.81926043762,41315.89819162415,304.7069153919636,158.0098336488694,1.0345939662045809
6700,26.80000000000229,-224942.88176043762,41231.07579981731,304.08134580507584,157.73604459635146,1.0363897542406812
6800,27.200000000002422,-224682.50676043762,40729.87528943352,300.3849657626136,158.7452974685446,1.0298007128463293
6900,27.600000000002556,-225209.75676043762,40882.921332156984,301.5136883520372,158.39087058774146,1.0321050694872682
7000,28.00000000000269,-224423.25676043762,40615.86686174176,299.5441476308251,158.89565916472637,1.0288262206372487
7100,28.400000000002823,-225008.75676043762,41058.96603582683,302.8120272717804,158.29448885028376,1.0327334936387254
7200,28.800000000002957,-225363.69426043762,40782.13055731007,300.7703511029926,158.32295213337082,1.0325478289237437
7300,29.20000000000309,-225534.31926043762,41283.063375567086,304.46475690198463,158.32295213337082,1.0325478289237437
7400,29.600000000003224,-225810.38176043762,41035.602168428304,302.6397175247282,157.90756286014374,1.0352640337999388
7500,30.000000000003357,-225233.50676043762,40732.130632733344,300.40159903769944,158.03254602967405,1.0344452747310269
7600,30.40000000000349,-225616.38176043762,41009.34555565473,302.44607362886586,157.8255765636992,1.0358018266331508
7700,30.800000000003624,-225817.19426043762,40401.87417885428,297.9659403747061,157.61554407047237,1.0371820968432983
7800,31.200000000003758,-225814.94426043762,40472.44064265827,298.4863717451221,157.92487632957665,1.0351505367206897
7900,31.60000000000389,-226054.38176043762,40800.65100165433,300.9069403510747,158.2651480163628,1.0329249524804307
8000,32.00000000000402,-225906.88176043762,41047.19572545076,302.72522061562915,157.8726130731902,1.0354932202099036
8100,32.4000000000038,-225223.00676043762,40747.816082380814,300.51728005125136,157.38240777700494,1.0387185124638514
8200,32.80000000000358,-225571.63176043762,40773.444493572344,300.706290927509,156.70176371360247,1.043230252295618
8300,33.20000000000336,-225380.88176043762,40522.71658335424,298.8571594437665,156.95334601415314,1.0415580466782053
8400,33.600000000003135,-225193.13176043762,40938.02942106052,301.9201133970662,157.77101020854337,1.0361600669097923
8500,34.00000000000291,-225312.25676043762,40642.5611951772,299.7410197395188,157.48622596992834,1.0380337676345437
8600,34.40000000000269,-225336.25676043762,41091.28166804579,303.0503567537321,157.63909777361667,1.0370271259029626
8700,34.80000000000247,-225597.25676043762,41083.66115246946,302.9941550518064,157.63909777361667,1.0370271259029626
8800,35.20000000000225,-225760.63176043762,41275.61564211734,304.4098294773015,157.73387633356995,1.0364040008019368
8900,35.60000000000203,-225400.38176043762,41157.52532935317,303.5389072290873,157.8363702936099,1.0357309927363951
9000,36.000000000001805,-224718.88176043762,40980.40926099871,302.2326669386225,157.76126960897537,1.0362240421828435
9100,36.40000000000158,-224900.38176043762,40688.63303337293,300.08080196179907,157.3565668456206,1.0388890897352439
9200,36.80000000000136,-225250.81926043762,40990.44137473148,302.3066543033942,157.5473762510739,1.0376308662455147
9300,37.20000000000114,-225563.94426043762,41266.01023036521,304.3389890620094,157.58242336228105,1.037400092003151
9400,37.60000000000092,-226025.88176043762,40987.29695557803,302.2834640472728,157.01829640155253,1.0411272077238856
9500,38.000000000000696,-225665.63176043762,40873.47422105842,301.44401541236505,157.45067978143587,1.0382681149489987
9600,38.400000000000475,-226107.25676043762,41242.588205803986,304.1662504028331,157.2377828976596,1.039673909676725
9700,38.80000000000025,-225714.13176043762,40563.65928806283,299.1591140376542,157.09022236759932,1.040650512999895
9800,39.20000000000003,-225647.19426043762,40974.83459971787,302.1915535193919,157.09022236759932,1.040650512999895
9900,39.59999999999981,-225550.44426043762,40678.9370744605,300.0092937564523,156.74909085534998,1.042915270525987
10000,39.99999999999959,-225777.38176043762,40449.48162365612,298.3170477762197,157.52165605096968,1.0378002910356243
